INFO  - 2016-08-29 16:04:35.712; org.apache.solr.update.DirectUpdateHandler2; start commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
INFO  - 2016-08-29 16:04:35.712; org.apache.solr.update.DirectUpdateHandler2; No uncommitted changes. Skipping IW.commit.
INFO  - 2016-08-29 16:04:35.713; org.apache.solr.core.SolrCore; SolrIndexSearcher has not changed - not re-opening: org.apache.solr.search.SolrIndexSearcher
INFO  - 2016-08-29 16:04:35.713; org.apache.solr.update.DirectUpdateHandler2; end_commit_flush
INFO  - 2016-08-29 16:04:35.713; org.apache.solr.update.processor.LogUpdateProcessor; [article] webapp=/solr path=/update params={waitSearcher=true&commit=true&wt=javabin&version=2&softCommit=false} {commit=} 0 1
INFO  - 2016-08-29 16:04:35.716; org.apache.solr.update.DirectUpdateHandler2; start commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
INFO  - 2016-08-29 16:04:35.716; org.apache.solr.update.DirectUpdateHandler2; No uncommitted changes. Skipping IW.commit.
INFO  - 2016-08-29 16:04:35.716; org.apache.solr.core.SolrCore; SolrIndexSearcher has not changed - not re-opening: org.apache.solr.search.SolrIndexSearcher
INFO  - 2016-08-29 16:04:35.717; org.apache.solr.update.DirectUpdateHandler2; end_commit_flush
INFO  - 2016-08-29 16:04:35.717; org.apache.solr.update.processor.LogUpdateProcessor; [article] webapp=/solr path=/update params={waitSearcher=true&commit=true&wt=javabin&version=2&softCommit=false} {commit=} 0 1
INFO  - 2016-08-29 16:04:35.719; org.apache.solr.update.DirectUpdateHandler2; start commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
INFO  - 2016-08-29 16:04:35.719; org.apache.solr.update.DirectUpdateHandler2; No uncommitted changes. Skipping IW.commit.
INFO  - 2016-08-29 16:04:35.720; org.apache.solr.core.SolrCore; SolrIndexSearcher has not changed - not re-opening: org.apache.solr.search.SolrIndexSearcher
INFO  - 2016-08-29 16:04:35.720; org.apache.solr.update.DirectUpdateHandler2; end_commit_flush
INFO  - 2016-08-29 16:04:35.720; org.apache.solr.update.processor.LogUpdateProcessor; [article] webapp=/solr path=/update params={waitSearcher=true&commit=true&wt=javabin&version=2&softCommit=false} {commit=} 0 1
INFO  - 2016-08-29 16:04:35.723; org.apache.solr.update.DirectUpdateHandler2; start commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
INFO  - 2016-08-29 16:04:35.723; org.apache.solr.update.DirectUpdateHandler2; No uncommitted changes. Skipping IW.commit.
INFO  - 2016-08-29 16:04:35.723; org.apache.solr.core.SolrCore; SolrIndexSearcher has not changed - not re-opening: org.apache.solr.search.SolrIndexSearcher
INFO  - 2016-08-29 16:04:35.723; org.apache.solr.update.DirectUpdateHandler2; end_commit_flush
INFO  - 2016-08-29 16:04:35.724; org.apache.solr.update.processor.LogUpdateProcessor; [article] webapp=/solr path=/update params={waitSearcher=true&commit=true&wt=javabin&version=2&softCommit=false} {commit=} 0 1
INFO  - 2016-08-29 16:04:35.726; org.apache.solr.update.DirectUpdateHandler2; start commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
INFO  - 2016-08-29 16:04:35.726; org.apache.solr.update.DirectUpdateHandler2; No uncommitted changes. Skipping IW.commit.
INFO  - 2016-08-29 16:04:35.727; org.apache.solr.core.SolrCore; SolrIndexSearcher has not changed - not re-opening: org.apache.solr.search.SolrIndexSearcher
INFO  - 2016-08-29 16:04:35.727; org.apache.solr.update.DirectUpdateHandler2; end_commit_flush
INFO  - 2016-08-29 16:04:35.727; org.apache.solr.update.processor.LogUpdateProcessor; [article] webapp=/solr path=/update params={waitSearcher=true&commit=true&wt=javabin&version=2&softCommit=false} {commit=} 0 1
INFO  - 2016-08-29 16:04:35.730; org.apache.solr.update.DirectUpdateHandler2; start commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
INFO  - 2016-08-29 16:04:35.730; org.apache.solr.update.DirectUpdateHandler2; No uncommitted changes. Skipping IW.commit.
INFO  - 2016-08-29 16:04:35.730; org.apache.solr.core.SolrCore; SolrIndexSearcher has not changed - not re-opening: org.apache.solr.search.SolrIndexSearcher
INFO  - 2016-08-29 16:04:35.730; org.apache.solr.update.DirectUpdateHandler2; end_commit_flush
INFO  - 2016-08-29 16:04:35.731; org.apache.solr.update.processor.LogUpdateProcessor; [article] webapp=/solr path=/update params={waitSearcher=true&commit=true&wt=javabin&version=2&softCommit=false} {commit=} 0 1
